Date,Open,High,Low,Close,Volume,Adj Close
2016-05-20,65.650002,66.269997,65.07,65.209999,1131800,64.938785
2016-05-19,66.059998,66.580002,64.43,65.389999,1737400,64.844179
2016-05-18,65.489998,67.489998,65.300003,66.419998,1734600,65.86558
2016-05-17,66.389999,67.279999,65.099998,65.440002,2756600,64.893765
2016-05-16,66.610001,67.199997,65.269997,66.309998,2451200,65.756498
2016-05-13,65.720001,67.139999,65.50,66.260002,2238100,65.70692
2016-05-12,68.029999,68.139999,65.120003,65.57,27347100,65.022677
2016-05-11,68.699997,69.419998,67.410004,67.599998,3733300,67.035731
2016-05-10,69.309998,69.870003,68.800003,69.330002,935700,68.751294
2016-05-09,68.970001,69.800003,68.760002,68.800003,1278600,68.225719
2016-05-06,68.68,69.019997,67.199997,68.510002,1190400,67.938139
2016-05-05,69.089996,70.169998,68.940002,69.139999,1249000,68.562877
2016-05-04,69.68,69.889999,68.900002,69.099998,1263100,68.52321
2016-05-03,70.50,70.900002,69.599998,70.410004,1408800,69.822281
2016-05-02,70.559998,71.00,70.279999,70.529999,1100200,69.941274
2016-04-29,71.559998,71.639999,70.120003,70.43,2065600,69.84211
2016-04-28,73.50,73.580002,71.830002,72.010002,1032700,71.408924
2016-04-27,74.239998,75.089996,73.529999,73.580002,1357700,72.965818
2016-04-26,74.57,75.480003,73.080002,74.349998,1803100,73.729388
2016-04-25,76.669998,77.209999,74.400002,74.449997,2335200,73.828551
2016-04-22,77.699997,78.209999,75.730003,76.809998,2540600,76.168853
2016-04-21,81.43,82.089996,78.790001,79.379997,1503900,78.7174
2016-04-20,82.099998,82.68,81.529999,81.599998,1206800,80.918871
2016-04-19,82.360001,82.720001,81.339996,82.120003,932200,81.434534
2016-04-18,82.510002,82.75,81.00,82.239998,970400,81.553528
2016-04-15,81.849998,82.550003,81.330002,82.379997,1103900,81.692359
2016-04-14,82.139999,83.260002,81.82,81.860001,1153200,81.176703
2016-04-13,80.029999,82.00,79.730003,81.870003,1118500,81.186621
2016-04-12,78.879997,79.889999,78.75,79.25,977500,78.588488
